date;category;value
2021-12-19;Все категории;8.640376
2021-12-12;Все категории;7.6481566
2021-12-05;Все категории;7.0371914
2021-11-28;Все категории;7.190269
2021-11-21;Все категории;6.866585
2021-11-14;Все категории;5.861607
2021-11-07;Все категории;-7.3002906
2021-10-31;Все категории;4.990496
2021-10-24;Все категории;6.8482146
2021-10-17;Все категории;7.020209
2021-10-10;Все категории;6.7857475
2021-10-03;Все категории;7.2063694
2021-09-26;Все категории;7.323022
2021-09-19;Все категории;7.7105184
2021-09-12;Все категории;7.5020995
2021-09-05;Все категории;7.8872
2021-08-29;Все категории;7.1599607
2021-08-22;Все категории;6.6164646
2021-08-15;Все категории;6.431439
2021-08-08;Все категории;5.904422
2021-08-01;Все категории;5.268844
2021-07-25;Все категории;5.2512727
2021-07-18;Все категории;5.197066
2021-07-11;Все категории;4.601339
2021-07-04;Все категории;5.0821157
2021-06-27;Все категории;5.2479305
2021-06-20;Все категории;5.4269447
2021-06-13;Все категории;5.757692
2021-06-06;Все категории;5.437307
2021-05-30;Все категории;5.3910666
2021-05-23;Все категории;5.308653
2021-05-16;Все категории;4.3093925
2021-05-09;Все категории;-25.043333
2021-05-02;Все категории;4.2094073
2021-04-25;Все категории;3.855204
2021-04-18;Все категории;3.9309337
2021-04-11;Все категории;3.0048804
2021-04-04;Все категории;2.609565
2021-03-28;Все категории;2.3016443
2021-03-21;Все категории;1.9880906
2021-03-14;Все категории;0.9573024
2021-03-07;Все категории;2.1792116
2021-02-28;Все категории;-0.017450592
2021-02-21;Все категории;0.9000901
2021-02-14;Все категории;0.028853117
2021-02-07;Все категории;-0.9114926
2025-07-06;Все категории;27.202509
2025-06-29;Все категории;25.984636
2025-06-22;Все категории;25.865482
2025-06-15;Все категории;26.084137
2025-06-08;Все категории;26.956446
2025-06-01;Все категории;24.919062
2025-05-25;Все категории;26.74212
2025-05-18;Все категории;26.046114
2025-05-11;Все категории;22.74758
2025-05-04;Все категории;22.919617
2025-04-27;Все категории;24.271
2025-04-20;Все категории;22.751951
2025-04-13;Все категории;21.572374
2025-04-06;Все категории;19.71066
2025-03-30;Все категории;20.69933
2025-03-23;Все категории;20.683039
2025-03-16;Все категории;20.62505
2025-03-09;Все категории;19.225029
2025-03-02;Все категории;19.824581
2025-02-23;Все категории;18.097809
2025-02-16;Все категории;19.749966
2025-02-09;Все категории;17.115383
2024-11-24;Винные магазины;26.533783
2024-11-17;Винные магазины;25.733902
2024-11-10;Винные магазины;25.53479
2024-11-03;Винные магазины;25.678976
2024-10-27;Винные магазины;26.200785
2024-10-20;Винные магазины;25.842041
2024-10-13;Винные магазины;25.318514
2024-10-06;Винные магазины;25.819727
2024-09-29;Винные магазины;25.745918
2024-09-22;Винные магазины;25.874655
2024-09-15;Винные магазины;25.878086
2024-09-08;Винные магазины;25.227541
2024-09-01;Винные магазины;25.860922
2024-08-25;Винные магазины;25.596584
2024-08-18;Винные магазины;23.81831
2024-08-11;Винные магазины;24.137575
2024-08-04;Винные магазины;24.527218
2024-07-28;Винные магазины;24.060335
2024-07-21;Винные магазины;24.005407
2024-07-14;Винные магазины;23.480164
2024-07-07;Винные магазины;23.648378
2024-06-30;Винные магазины;23.783981
2024-06-23;Винные магазины;23.535091
2024-06-16;Винные магазины;23.21926
2024-06-09;Винные магазины;23.080223
2024-06-02;Винные магазины;23.893835
2024-05-26;Винные магазины;22.568712
2024-05-19;Винные магазины;22.237432
2024-05-12;Винные магазины;22.38505
2024-05-05;Винные магазины;21.149183
2024-04-28;Винные магазины;22.007423
2024-04-21;Винные магазины;20.581028
2024-04-14;Винные магазины;20.119295
2024-04-07;Винные магазины;19.443003
2024-03-31;Винные магазины;19.197546
2024-03-24;Винные магазины;19.212994
2024-03-17;Винные магазины;18.649988
2024-03-10;Винные магазины;19.075676
2024-03-03;Винные магазины;19.010448
2024-02-25;Винные магазины;18.890295
2024-02-18;Винные магазины;18.296392
2024-02-11;Винные магазины;18.177956
2024-02-04;Винные магазины;18.152208
2024-01-28;Винные магазины;17.83981
2024-01-21;Винные магазины;17.589203
2024-01-14;Винные магазины;17.553158
2024-01-07;Винные магазины;17.12232
2023-12-31;Винные магазины;19.755402
2023-12-24;Винные магазины;18.804472
2023-12-17;Винные магазины;18.2243
2023-12-10;Винные магазины;17.89817
2023-12-03;Винные магазины;18.0784
2023-11-26;Винные магазины;18.073252
2023-11-19;Винные магазины;17.92735
2023-11-12;Винные магазины;17.750553
2023-11-05;Винные магазины;17.82951
2023-10-29;Винные магазины;17.671595
2023-10-22;Винные магазины;17.546291
2023-10-15;Винные магазины;17.534275
2023-10-08;Винные магазины;17.750553
2023-10-01;Винные магазины;18.407965
2023-09-24;Винные магазины;18.371918
2023-09-17;Винные магазины;18.48349
2023-09-10;Винные магазины;18.243183
2023-09-03;Винные магазины;18.847383
2023-08-27;Винные магазины;18.73238
2023-08-20;Винные магазины;18.938356
2023-08-13;Винные магазины;18.948656
2023-08-06;Винные магазины;18.964104
2023-07-30;Винные магазины;18.679169
2023-07-23;Винные магазины;18.534985
2023-07-16;Винные магазины;18.231167
2023-07-09;Винные магазины;17.970263
2023-07-02;Винные магазины;17.650997
2023-06-25;Винные магазины;17.11717
2023-06-18;Винные магазины;16.797905
2023-06-11;Винные магазины;16.492373
2023-06-04;Винные магазины;16.312141
2023-05-28;Винные магазины;15.743987
2023-05-21;Винные магазины;16.276096
2023-05-14;Винные магазины;16.02549
2023-05-07;Винные магазины;15.992877
2023-04-30;Винные магазины;15.479649
2023-04-23;Винные магазины;14.568198
2023-04-16;Винные магазины;14.034372
2023-04-09;Винные магазины;13.531444
2023-04-02;Винные магазины;13.325466
2023-03-26;Винные магазины;13.308301
2023-03-19;Винные магазины;13.031948
2023-03-12;Винные магазины;13.006201
2023-03-05;Винные магазины;12.578797
2023-02-26;Винные магазины;12.570215
2023-02-19;Винные магазины;11.924818
2023-02-12;Винные магазины;11.469951
2023-02-05;Винные магазины;11.828695
2023-01-29;Винные магазины;11.600404
2023-01-22;Винные магазины;11.56779
2023-01-15;Винные магазины;11.298303
2023-01-08;Винные магазины;11.042547
2023-01-01;Винные магазины;12.395134
2022-12-25;Винные магазины;11.449353
2022-12-18;Винные магазины;10.925827
2022-12-11;Винные магазины;10.390285
2022-12-04;Винные магазины;10.378269
2022-11-27;Винные магазины;10.067586
2022-11-20;Винные магазины;9.585256
2022-11-13;Винные магазины;9.290021
2022-11-06;Винные магазины;9.243676
2022-10-30;Винные магазины;8.177742
2022-10-23;Винные магазины;8.061021
2022-10-16;Винные магазины;8.155427
2022-10-09;Винные магазины;8.289312
2022-10-02;Винные магазины;8.817988
2022-09-25;Винные магазины;8.9123955
2022-09-18;Винные магазины;8.941575
2022-09-11;Винные магазины;8.982771
2022-09-04;Винные магазины;9.356963
2022-08-28;Винные магазины;9.976613
2022-08-21;Винные магазины;10.105349
2022-08-14;Винные магазины;10.134529
2022-08-07;Винные магазины;10.155127
2022-07-31;Винные магазины;10.323342
2022-07-24;Винные магазины;10.333641
2022-07-17;Винные магазины;10.129379
2022-07-10;Винные магазины;9.847877
2022-07-03;Винные магазины;10.064154
2022-06-26;Винные магазины;9.746605
2022-06-19;Винные магазины;9.562942
2022-06-12;Винные магазины;9.755187
2022-06-05;Винные магазины;9.628167
2022-05-29;Винные магазины;9.617868
2022-05-22;Винные магазины;9.310618
2022-05-15;Винные магазины;9.3054695
2022-05-08;Винные магазины;9.501148
2022-05-01;Винные магазины;9.696827
2022-04-24;Винные магазины;8.907246
2022-04-17;Винные магазины;8.775077
2022-04-10;Винные магазины;8.311627
2022-04-03;Винные магазины;8.308194
2022-03-27;Винные магазины;8.467827
2022-03-20;Винные магазины;7.6988435
2022-03-13;Винные магазины;7.693694
2022-03-06;Винные магазины;7.661081
2022-02-27;Винные магазины;7.9168367
2022-02-20;Винные магазины;7.525479
2022-02-13;Винные магазины;7.189049
2022-02-06;Винные магазины;7.2474093
2022-01-30;Винные магазины;6.735898
2022-01-23;Винные магазины;6.821722
2022-01-16;Винные магазины;6.7753773
2022-01-09;Винные магазины;6.3805866
2022-01-02;Винные магазины;7.875641
2021-12-26;Винные магазины;7.0843434
2021-12-19;Винные магазины;6.5127554
2021-12-12;Винные магазины;6.1952066
2021-12-05;Винные магазины;6.092218
