date;category;value
2025-04-01;Строительство;1239.6848
2025-04-01;Услуги ЖКХ;1254.4097
2025-04-01;ИТ и связь;943.7189
2025-01-01;Операции с недвижимостью;414.88654
2025-01-01;ИТ и связь;850.69666
2025-01-01;Гостиницы и общепит;238.84758
2025-01-01;Транспортировка и хранение;2157.6619
2025-01-01;Строительство;908.2808
2025-01-01;Водоснабжение;192.65019
2025-01-01;Услуги ЖКХ;1643.0471
2025-01-01;Обрабатывающие производства;8268.756
2025-01-01;Добыча полезных ископаемых;3144.1077
2025-01-01;Сельское хозяйство;471.8653
2025-01-01;Розничная торговля;2298.427
2025-01-01;Оптовая торговля;9318.753
2025-01-01;Торговля автомобилями;869.21326
2024-12-01;Все отрасли;36759.84
2024-12-01;Спорт и досуг;109.4888
2024-12-01;Здравоохранение;398.67316
2024-12-01;Образование;107.65045
2024-12-01;Прочее;74.3176
2024-12-01;Административная деятельность;378.89682
2024-12-01;Научная и проф. деятельность;1833.7244
2024-12-01;Операции с недвижимостью;457.94763
2024-12-01;ИТ и связь;1649.0518
2024-12-01;Гостиницы и общепит;247.29068
2024-12-01;Транспортировка и хранение;2157.0046
2024-12-01;Строительство;1982.5961
2024-12-01;Водоснабжение;221.70049
2024-12-01;Услуги ЖКХ;1640.9688
2024-12-01;Обрабатывающие производства;9542.527
2024-12-01;Добыча полезных ископаемых;2840.4768
2024-12-01;Сельское хозяйство;660.7579
2024-12-01;Розничная торговля;2920.291
2024-12-01;Оптовая торговля;8319.243
2024-12-01;Торговля автомобилями;1217.2336
2024-11-01;Все отрасли;32441.582
2024-11-01;Спорт и досуг;89.8277
2024-11-01;Здравоохранение;327.85742
2024-11-01;Образование;92.6452
2024-11-01;Прочее;56.897537
2024-11-01;Административная деятельность;378.71765
2024-11-01;Научная и проф. деятельность;905.69006
2024-11-01;Операции с недвижимостью;421.72058
2024-11-01;ИТ и связь;959.7945
2024-11-01;Гостиницы и общепит;236.40158
2024-11-01;Транспортировка и хранение;2099.1162
2024-11-01;Строительство;1316.3434
2024-11-01;Водоснабжение;200.45709
2024-11-01;Услуги ЖКХ;1363.4491
2024-11-01;Обрабатывающие производства;8268.79
2024-11-01;Добыча полезных ископаемых;2921.4097
2024-11-01;Сельское хозяйство;594.8027
2024-11-01;Розничная торговля;2386.5488
2024-11-01;Оптовая торговля;8569.7295
2024-11-01;Торговля автомобилями;1251.3824
2024-10-01;Все отрасли;31889.158
2024-10-01;Спорт и досуг;98.953316
2024-10-01;Здравоохранение;355.08856
2024-10-01;Образование;89.2045
2024-10-01;Прочее;62.86777
2024-10-01;Административная деятельность;386.53052
2024-10-01;Научная и проф. деятельность;933.5674
2024-10-01;Операции с недвижимостью;450.22018
2024-10-01;ИТ и связь;884.04395
2024-10-01;Гостиницы и общепит;251.22974
2024-10-01;Транспортировка и хранение;2151.0796
2024-10-01;Строительство;1357.4551
2024-10-01;Водоснабжение;199.56708
2024-10-01;Услуги ЖКХ;1192.6008
2024-10-01;Обрабатывающие производства;8234.153
2024-10-01;Добыча полезных ископаемых;2687.1663
2024-10-01;Сельское хозяйство;602.87823
2024-10-01;Розничная торговля;2446.8828
2024-10-01;Оптовая торговля;8121.145
2024-10-01;Торговля автомобилями;1384.5253
2024-09-01;Все отрасли;31484.408
2024-09-01;ИТ и связь;1054.5452
2024-09-01;Строительство;1427.2559
2024-09-01;Услуги ЖКХ;972.62164
2024-09-01;Сельское хозяйство;580.3765
2024-09-01;Спорт и досуг;94.37144
2024-09-01;Здравоохранение;326.26184
2024-09-01;Образование;82.67589
2024-09-01;Прочее;52.519367
2024-09-01;Административная деятельность;365.43927
2024-09-01;Научная и проф. деятельность;772.13873
2024-09-01;Операции с недвижимостью;463.65112
2024-09-01;Гостиницы и общепит;249.10432
2024-09-01;Транспортировка и хранение;2135.6929
2024-09-01;Водоснабжение;209.70541
2024-09-01;Обрабатывающие производства;8046.2754
2024-09-01;Добыча полезных ископаемых;2867.8296
2024-09-01;Розничная торговля;2411.5818
2024-09-01;Оптовая торговля;8140.61
2024-09-01;Торговля автомобилями;1231.7511
2024-08-01;Спорт и досуг;88.63998
2024-08-01;Здравоохранение;340.2143
2024-08-01;Образование;64.84563
2024-08-01;Все отрасли;30449.566
2024-08-01;Прочее;51.72872
2024-08-01;Административная деятельность;350.37485
2024-08-01;Научная и проф. деятельность;785.1412
2024-08-01;Операции с недвижимостью;434.75128
2024-08-01;ИТ и связь;777.9529
2024-08-01;Гостиницы и общепит;253.93282
2024-08-01;Транспортировка и хранение;2103.7551
2024-08-01;Строительство;1212.7916
2024-08-01;Водоснабжение;203.93065
2024-08-01;Услуги ЖКХ;985.9417
2024-08-01;Обрабатывающие производства;7859.5073
2024-08-01;Добыча полезных ископаемых;2791.896
2024-08-01;Сельское хозяйство;495.60126
2024-08-01;Розничная торговля;2452.5967
2024-08-01;Оптовая торговля;8004.8096
2024-08-01;Торговля автомобилями;1191.1543
2024-07-01;Спорт и досуг;82.527855
2024-07-01;Здравоохранение;343.5045
2024-07-01;Образование;57.676052
2024-07-01;Все отрасли;30124.732
2024-07-01;Прочее;56.67877
2024-07-01;Административная деятельность;362.17752
2024-07-01;Научная и проф. деятельность;755.9243
2024-07-01;Операции с недвижимостью;468.487
2024-07-01;ИТ и связь;796.4877
2024-07-01;Гостиницы и общепит;248.73346
2024-07-01;Транспортировка и хранение;2044.1963
2024-07-01;Строительство;1210.5518
2024-07-01;Водоснабжение;203.3039
2024-07-01;Услуги ЖКХ;956.84735
2024-07-01;Обрабатывающие производства;7800.096
2024-07-01;Добыча полезных ископаемых;2828.6426
2024-07-01;Сельское хозяйство;441.43475
2024-07-01;Розничная торговля;2426.157
2024-07-01;Оптовая торговля;7863.218
2024-07-01;Торговля автомобилями;1178.088
2024-06-01;Спорт и досуг;109.282555
2024-06-01;Здравоохранение;336.1963
2024-06-01;Образование;73.00282
2024-06-01;Все отрасли;30036.805
2024-06-01;Прочее;62.43744
2024-06-01;Административная деятельность;396.60562
2024-06-01;Научная и проф. деятельность;938.9197
2024-06-01;Операции с недвижимостью;482.6107
2024-06-01;ИТ и связь;993.9601
2024-06-01;Гостиницы и общепит;241.48083
2024-06-01;Транспортировка и хранение;1999.2399
2024-06-01;Строительство;1254.8995
2024-06-01;Водоснабжение;197.65039
2024-06-01;Услуги ЖКХ;902.8207
2024-06-01;Обрабатывающие производства;7802.638
2024-06-01;Добыча полезных ископаемых;2657.9392
2024-06-01;Сельское хозяйство;441.26794
2024-06-01;Розничная торговля;2317.5942
2024-06-01;Оптовая торговля;7677.2695
2024-06-01;Торговля автомобилями;1150.9888
2024-05-01;Спорт и досуг;84.78798
2024-05-01;Здравоохранение;341.5172
2024-05-01;Образование;75.530304
2024-05-01;Все отрасли;29682.799
2024-05-01;Прочее;54.392002
2024-05-01;Административная деятельность;376.36765
2024-05-01;Научная и проф. деятельность;803.01904
2024-05-01;Операции с недвижимостью;495.0645
2024-05-01;ИТ и связь;753.1057
2024-05-01;Гостиницы и общепит;235.56229
2024-05-01;Транспортировка и хранение;1968.5138
